province,year,es
上海,2015,0.167006852138444
上海,2016,0.147596606722368
上海,2017,0.123679962119413
上海,2018,0.13308696155547
上海,2019,0.133647516585673
上海,2020,0.140362444253489
上海,2021,0.129882817290061
上海,2022,0.137292749194526
云南,2015,0.526132670983815
云南,2016,0.528513767037453
云南,2017,0.50849356529288
云南,2018,0.4966668283086
云南,2019,0.482101378362882
云南,2020,0.465373114337118
云南,2021,0.436443065868642
云南,2022,0.402316736270471
内蒙古,2015,0.525468788984196
内蒙古,2016,0.525149093447812
内蒙古,2017,0.484921790513543
内蒙古,2018,0.492439433190523
内蒙古,2019,0.497306802981603
内蒙古,2020,0.48110701761782
内蒙古,2021,0.440263551214842
内蒙古,2022,0.440982651772354
北京,2015,0.0911980211520928
北京,2016,0.0727527261898993
北京,2017,0.0441449424343943
北京,2018,0.0163233344458258
北京,2019,0.0121381029145563
北京,2020,0.0106244026003874
北京,2021,0.00682217825586573
北京,2022,0.00563741988632412
吉林,2015,0.472497259134313
吉林,2016,0.460291495132284
吉林,2017,0.391752021797153
吉林,2018,0.337867831159179
吉林,2019,0.352469158103669
吉林,2020,0.313532217826301
吉林,2021,0.288922642266815
吉林,2022,0.281200443004392
四川,2015,0.348171234337644
四川,2016,0.301721479450967
四川,2017,0.282747027449079
四川,2018,0.294511972528866
四川,2019,0.278343431731857
四川,2020,0.258091057175114
四川,2021,0.23730056065349
四川,2022,0.204858095863449
天津,2015,0.287060895710253
天津,2016,0.263520383802361
天津,2017,0.235691868434153
天津,2018,0.226061320377099
天津,2019,0.222030142844026
天津,2020,0.227009037964877
天津,2021,0.187630349421288
天津,2022,0.179341939234138
宁夏,2015,0.520838902698215
宁夏,2016,0.514195705098898
宁夏,2017,0.55852394624727
宁夏,2018,0.553266134178237
宁夏,2019,0.53995708323875
宁夏,2020,0.524535008756213
宁夏,2021,0.529690119735928
宁夏,2022,0.513603623069122
安徽,2015,0.498547330581
安徽,2016,0.478037717127016
安徽,2017,0.438472539936494
安徽,2018,0.400115200730704
安徽,2019,0.387550219719614
安徽,2020,0.399026251911193
安徽,2021,0.374463780465375
安徽,2022,0.347723179191105
山东,2015,0.421046548195396
山东,2016,0.363065762175049
山东,2017,0.343575856965881
山东,2018,0.30244854620865
山东,2019,0.299959900474547
山东,2020,0.302354312967543
山东,2021,0.273702856940111
山东,2022,0.24930402788326
山西,2015,0.599653158946574
山西,2016,0.601326812504671
山西,2017,0.570845105940461
山西,2018,0.54779645776768
山西,2019,0.532069395186393
山西,2020,0.528212004606247
山西,2021,0.524693696009948
山西,2022,0.458715665858365
广东,2015,0.225392399200952
广东,2016,0.32312069559754
广东,2017,0.189688730655679
广东,2018,0.171627155485962
广东,2019,0.175507318224026
广东,2020,0.173120933094256
广东,2021,0.13453674702043
广东,2022,0.139179266095369
广西,2015,0.44074446277157
广西,2016,0.446588924664333
广西,2017,0.423862270033174
广西,2018,0.40317647034572
广西,2019,0.387088100915981
广西,2020,0.427856273218867
广西,2021,0.4177058717981
广西,2022,0.413479646310954
新疆,2015,0.281911806318168
新疆,2016,0.303429135970238
新疆,2017,0.315357466879963
新疆,2018,0.278665532422367
新疆,2019,0.283628755145617
新疆,2020,0.262480437578414
新疆,2021,0.260371796994286
新疆,2022,0.249264618606011
江苏,2015,0.363231202227617
江苏,2016,0.348790569934513
江苏,2017,0.331560618212242
江苏,2018,0.301319363151013
江苏,2019,0.317285609419849
江苏,2020,0.298029367433229
江苏,2021,0.276667885053776
江苏,2022,0.273866864982722
江西,2015,0.519209489401987
江西,2016,0.498235560709103
江西,2017,0.482443162286534
江西,2018,0.437386791391328
江西,2019,0.420843640463975
江西,2020,0.406944310323011
江西,2021,0.376376704868508
江西,2022,0.364149351587859
河北,2015,0.637128794135934
河北,2016,0.619187969730767
河北,2017,0.588564846346521
河北,2018,0.573307962182728
河北,2019,0.569807935315766
河北,2020,0.572171275717707
河北,2021,0.507992169610112
河北,2022,0.500861981098746
河南,2015,0.44474052755157
河南,2016,0.401763132656858
河南,2017,0.369317779728056
河南,2018,0.337963641291958
河南,2019,0.318746077641349
河南,2020,0.331796639017207
河南,2021,0.301839563011245
河南,2022,0.288330190946946
浙江,2015,0.215705747270639
浙江,2016,0.185389335798455
浙江,2017,0.148109776597677
浙江,2018,0.127407297891384
浙江,2019,0.126272215731359
浙江,2020,0.113531226678021
浙江,2021,0.115393079478786
浙江,2022,0.0480452533769846
海南,2015,0.08366916387789
海南,2016,0.0951467628085384
海南,2017,0.0991960207642974
海南,2018,0.101810756634693
海南,2019,0.0975399639869722
海南,2020,0.0902138413614696
海南,2021,0.0304692495002732
海南,2022,0.0792695243253355
湖北,2015,0.471870679970466
湖北,2016,0.472726820093016
湖北,2017,0.460921051415158
湖北,2018,0.392890651530202
湖北,2019,0.365798707144489
湖北,2020,0.368958083864456
湖北,2021,0.352478011558944
湖北,2022,0.378192111782762
湖南,2015,0.505183357677094
湖南,2016,0.512916806280168
湖南,2017,0.5469885032651
湖南,2018,0.472482465625426
湖南,2019,0.452040599804201
湖南,2020,0.447367064966972
湖南,2021,0.347814285300406
湖南,2022,0.338784226398475
甘肃,2015,0.411761663129969
甘肃,2016,0.397060473543756
甘肃,2017,0.364730400934253
甘肃,2018,0.319567598544878
甘肃,2019,0.320141132424678
甘肃,2020,0.31429591324146
甘肃,2021,0.302220277940193
甘肃,2022,0.292894502944519
福建,2015,0.319726820952899
福建,2016,0.312261576401423
福建,2017,0.288372825194337
福建,2018,0.285752505836052
福建,2019,0.27783074285179
福建,2020,0.258692787024522
福建,2021,0.235925973313292
福建,2022,0.22858660339267
贵州,2015,0.612603844875771
贵州,2016,0.586976130200958
贵州,2017,0.558226877207191
贵州,2018,0.475500718172682
贵州,2019,0.458284778057682
贵州,2020,0.444596744882493
贵州,2021,0.374725973700025
贵州,2022,0.338654642815194
辽宁,2015,0.40174300843171
辽宁,2016,0.370548859934594
辽宁,2017,0.356825876520868
辽宁,2018,0.349039977052822
辽宁,2019,0.344066159921626
辽宁,2020,0.344010249062947
辽宁,2021,0.327577124855748
辽宁,2022,0.324968646972772
重庆,2015,0.40229094060407
重庆,2016,0.349493657866844
重庆,2017,0.346142944646546
重庆,2018,0.306731459068456
重庆,2019,0.281069420420115
重庆,2020,0.295658934133405
重庆,2021,0.248748211039159
重庆,2022,0.24092591613532
陕西,2015,0.476405921948958
陕西,2016,0.447293980773383
陕西,2017,0.426510517968314
陕西,2018,0.397156775409201
陕西,2019,0.383462433127136
陕西,2020,0.401887187528775
陕西,2021,0.389156041514884
陕西,2022,0.378796713276187
青海,2015,0.323608988109351
青海,2016,0.310754568008888
青海,2017,0.242700132702798
青海,2018,0.236363450721404
青海,2019,0.23938871707874
青海,2020,0.232141538806671
青海,2021,0.239684751033958
青海,2022,0.230610860054965
黑龙江,2015,0.413168103495687
黑龙江,2016,0.433005381159735
黑龙江,2017,0.423307432556118
黑龙江,2018,0.378213378112804
黑龙江,2019,0.381421587564558
黑龙江,2020,0.324169528239629
黑龙江,2021,0.292488381182252
黑龙江,2022,0.272450704818613
