year,province,eff
2015,上海,0.5810507223454309
2015,云南,0.3166292696593911
2015,内蒙古,0.3288641213692387
2015,北京,1.006911905860517
2015,吉林,0.3462864479487486
2015,四川,0.3471621196452197
2015,天津,0.5287792456655326
2015,宁夏,0.5938752681391075
2015,安徽,0.3672507491253231
2015,山东,0.4544720108972753
2015,山西,0.2879029689192467
2015,广东,1.013560194078508
2015,广西,0.3272308420895854
2015,新疆,0.3161644919188784
2015,江苏,0.7061670924362443
2015,江西,0.4685780093095151
2015,河北,0.2641842442103717
2015,河南,0.2954986309911539
2015,浙江,0.4941113204184356
2015,海南,1.047732338208394
2015,湖北,0.3655467657324379
2015,湖南,0.3775203252910065
2015,甘肃,0.3991622478547839
2015,福建,0.4060544219234719
2015,贵州,0.3665513711238582
2015,辽宁,0.3353140418269424
2015,重庆,0.4473665557648749
2015,陕西,0.3601693210621884
2015,青海,1.098537876422243
2015,黑龙江,0.3353601214442256
2016,上海,0.5226131465532506
2016,云南,0.3091562842494926
2016,内蒙古,0.3352473473187768
2016,北京,0.6893496188825686
2016,吉林,0.3582240018648497
2016,四川,0.3484257509732445
2016,天津,0.5506215845362348
2016,宁夏,0.5685127500147715
2016,安徽,0.3643548774218254
2016,山东,0.4834934291071595
2016,山西,0.2850031353311299
2016,广东,1.077161563013688
2016,广西,0.3208513371341329
2016,新疆,0.3060568273263035
2016,江苏,0.695209746472347
2016,江西,0.4240433307726532
2016,河北,0.2636046900809376
2016,河南,0.3132705829954298
2016,浙江,0.5261764261021944
2016,海南,1.023567756208685
2016,湖北,0.3636995958971085
2016,湖南,0.3746363398444296
2016,甘肃,0.3937476182042842
2016,福建,0.407064553024796
2016,贵州,0.3542248362213313
2016,辽宁,0.3319782109337806
2016,重庆,0.447845187902343
2016,陕西,0.3619143908629094
2016,青海,0.9165687949740784
2016,黑龙江,0.3351631835018215
2017,上海,0.526742504128084
2017,云南,0.304365535922594
2017,内蒙古,0.341799003990847
2017,北京,0.7471259167146342
2017,吉林,0.3684952616031422
2017,四川,0.3857795013915419
2017,天津,0.5881206342708691
2017,宁夏,0.527162304551793
2017,安徽,0.3662934737708983
2017,山东,0.5244775436128531
2017,山西,0.2953476054892521
2017,广东,0.868013691760749
2017,广西,0.3265951527334279
2017,新疆,0.2949627465391562
2017,江苏,0.7419867127755329
2017,江西,0.4229314244793223
2017,河北,0.2732888330447559
2017,河南,0.3375563304801622
2017,浙江,0.5653407000920019
2017,海南,0.9421796080508883
2017,湖北,0.3778233514035932
2017,湖南,0.3858036344401472
2017,甘肃,0.3938647688121444
2017,福建,0.405297620980829
2017,贵州,0.3471599129012762
2017,辽宁,0.3407071041763855
2017,重庆,0.4498974587388517
2017,陕西,0.3668164483642979
2017,青海,0.9398801871172894
2017,黑龙江,0.3388991608377488
2018,上海,0.5393823316256199
2018,云南,0.2996437682230934
2018,内蒙古,0.3483358892775954
2018,北京,0.8854990485752747
2018,吉林,0.3928027980757418
2018,四川,0.4304708743279495
2018,天津,0.6720824742167901
2018,宁夏,0.5198050398940012
2018,安徽,0.3697627857412565
2018,山东,0.5357235211650353
2018,山西,0.3074492353099122
2018,广东,0.9388331995578509
2018,广西,0.3399273133914116
2018,新疆,0.2964020163580027
2018,江苏,0.8012942222315311
2018,江西,0.4273526847946677
2018,河北,0.2819449766076745
2018,河南,0.3710701562547597
2018,浙江,0.6079819602556331
2018,海南,0.9064950043571234
2018,湖北,0.4130352712187702
2018,湖南,0.4281556794939887
2018,甘肃,0.4001322464087809
2018,福建,0.4109125185685708
2018,贵州,0.3454913899152027
2018,辽宁,0.3535199805461939
2018,重庆,0.4638285330337155
2018,陕西,0.3699216684108768
2018,青海,0.9846025326725417
2018,黑龙江,0.3595193760240896
2019,上海,0.5436378558908417
2019,云南,0.2973776032362906
2019,内蒙古,0.3589967499378854
2019,北京,1.003875560815787
2019,吉林,0.3998092638600845
2019,四川,0.4718986635871463
2019,天津,0.7436572293617392
2019,宁夏,0.5164764874846156
2019,安徽,0.3712309785956912
2019,山东,0.5572350089561109
2019,山西,0.3149347791209197
2019,广东,1.008269939701071
2019,广西,0.3436406449307456
2019,新疆,0.2978991031948449
2019,江苏,0.8610769025311493
2019,江西,0.4302025914977265
2019,河北,0.3031985730688279
2019,河南,0.4077041583057455
2019,浙江,0.6592451216775217
2019,海南,0.9146940276163021
2019,湖北,0.4411500439428012
2019,湖南,0.4656511792426026
2019,甘肃,0.4093129609704698
2019,福建,0.4420877963703216
2019,贵州,0.3434189409041392
2019,辽宁,0.3655905333001583
2019,重庆,0.465779980985918
2019,陕西,0.3660688960612864
2019,青海,1.001004613704661
2019,黑龙江,0.3587990680883049
2020,上海,0.5513503794221919
2020,云南,0.2877106104413493
2020,内蒙古,0.3588784969018692
2020,北京,1.013318017353815
2020,吉林,0.4094003991166074
2020,四川,0.5013044151386656
2020,天津,0.7660634819090113
2020,宁夏,0.5063453055739613
2020,安徽,0.360467642671163
2020,山东,0.5801414610347297
2020,山西,0.3189726431151333
2020,广东,1.013431330409168
2020,广西,0.3361513521119303
2020,新疆,0.2949918227551737
2020,江苏,0.9111516786039355
2020,江西,0.4266429592331111
2020,河北,0.3111355498630635
2020,河南,0.4004145735663523
2020,浙江,0.6638059260190341
2020,海南,0.9681280337201269
2020,湖北,0.4132496568315555
2020,湖南,0.4830879453257223
2020,甘肃,0.4074829682568279
2020,福建,0.4587079358149891
2020,贵州,0.341185399003432
2020,辽宁,0.3649711285483724
2020,重庆,0.4611495741756552
2020,陕西,0.3606692059459596
2020,青海,1.068106944398195
2020,黑龙江,0.3572519107120143
2021,上海,0.6366619826711226
2021,云南,0.2938250096288113
2021,内蒙古,0.3778563397343704
2021,北京,1.008502412368149
2021,吉林,0.4265337117276493
2021,四川,0.5630140354272554
2021,天津,0.9342192882361401
2021,宁夏,0.5066206083133278
2021,安徽,0.3756355894442298
2021,山东,0.6286059515997537
2021,山西,0.3312038947007444
2021,广东,1.000776421654061
2021,广西,0.342010928741094
2021,新疆,0.2934327386411296
2021,江苏,1.004446656023134
2021,江西,0.4336608942703569
2021,河北,0.3349568933069858
2021,河南,0.4262219306422462
2021,浙江,0.6892685651206794
2021,海南,0.7249410156139366
2021,湖北,0.473383513460423
2021,湖南,0.5347993409853825
2021,甘肃,0.4113616125848464
2021,福建,0.4922631985736569
2021,贵州,0.3438893679377995
2021,辽宁,0.3950991322495656
2021,重庆,0.4637356734028739
2021,陕西,0.3605764191237145
2021,青海,0.9803344956006036
2021,黑龙江,0.3612630692426392
2022,上海,0.6389035056978963
2022,云南,0.293755254690567
2022,内蒙古,0.3851624568931784
2022,北京,1.265066650072873
2022,吉林,0.4343727199038105
2022,四川,0.5871767058676729
2022,天津,1.007444783973375
2022,宁夏,0.499909878182166
2022,安徽,0.3786534280017262
2022,山东,0.6526545559417306
2022,山西,0.3339871557679442
2022,广东,1.016609139072248
2022,广西,0.3428163333775334
2022,新疆,0.2904995245901567
2022,江苏,1.013758439169936
2022,江西,0.4282572931132526
2022,河北,0.3461327660808853
2022,河南,0.4231551247900952
2022,浙江,0.5808955258420825
2022,海南,0.9063713017090081
2022,湖北,0.4859713409492087
2022,湖南,0.5651480342707433
2022,甘肃,0.4125362718351546
2022,福建,0.5133121595376036
2022,贵州,0.3434866927962318
2022,辽宁,0.4084109900601219
2022,重庆,0.4646372474099707
2022,陕西,0.3546504219339716
2022,青海,1.001248988942808
2022,黑龙江,0.3671306897275555
