year,province,Population,Capital,energy_total,GDP_constant,Carbon
2015,上海,2458,39515.12658,8147.341367,25123.45,62.66165987
2015,云南,4663,34595.77366,6996.376188,13619.17,78.56604319
2015,内蒙古,2440,49569.99536,13340.45404,17831.51,481.0345255
2015,北京,2188,35954.11872,5088.046617,23014.59,18.63324401
2015,吉林,2613,41474.69151,6722.657949,14063.13,144.8277051
2015,四川,8196,49857.7805,14311.7159,30053.1,72.86622631
2015,天津,1439,40567.07688,5795.092668,16538.19,68.94183083
2015,宁夏,684,9475.331555,3656.689395,2911.77,112.0463989
2015,安徽,6011,37656.29791,9367.825413,22005.63,210.6206966
2015,山东,9866,119667.4973,26049.92483,63002.33,511.1574623
2015,山西,3519,31644.80639,12415.19352,12766.49,273.1216636
2015,广东,11678,108340.8132,19081.41048,72812.55,260.8545483
2015,广西,4811,41940.23191,7134.901197,16803.12,83.03859517
2015,新疆,2385,24582.97479,9860.337452,9324.8,233.7016273
2015,江苏,8315,109499.7707,20405.26634,70116.38,382.6525488
2015,江西,4485,26894.49297,6336.659031,16723.78,103.2553095
2015,河北,7345,67580.75906,22955.22808,29806.11,305.2749432
2015,河南,9701,92571.38708,15508.75939,37002.16,251.4205008
2015,浙江,5985,71309.26018,13359.50426,42886.49,224.4441096
2015,海南,945,7838.793832,1610.54191,3702.76,18.50584707
2015,湖北,5850,52578.02477,11852.36327,29550.19,156.5767115
2015,湖南,6615,47413.36564,11140.36877,28902.21,143.4174142
2015,甘肃,2523,14315.16134,5059.679855,6790.32,94.49228668
2015,福建,3984,51170.85001,8101.567611,25979.82,125.2238247
2015,贵州,3708,19919.55644,6928.996926,10502.56,135.0867134
2015,辽宁,4338,61290.32846,15547.38905,28669.02,216.5606448
2015,重庆,3070,27071.29599,6635.845719,15717.27,62.8901337
2015,陕西,3846,37685.9528,8243.213703,18021.86,153.1407673
2015,青海,577,8377.732105,2480.931632,2417.05,25.15324246
2015,黑龙江,3529,34031.89654,8904.215572,15083.67,166.1174574
2016,上海,2467,43428.84068,8305.925849,26856.96805,61.81090983
2016,云南,4677,40068.19804,7214.414382,14804.03779,76.53142527
2016,内蒙古,2436,52854.41421,13604.53548,19115.37872,484.8689767
2016,北京,2195,39788.7155,5042.248067,24579.58212,13.54436493
2016,吉林,2567,44743.07657,6410.124263,15033.48597,142.223606
2016,四川,8251,55070.5793,13928.32426,32397.2418,52.26548195
2016,天津,1443,43838.125,5767.929919,18043.16529,63.4604096
2016,宁夏,695,11082.27942,3723.431674,3147.62337,102.6377437
2016,安徽,6033,42352.84347,9549.636425,23920.11981,215.6541851
2016,山东,9973,130503.6369,25574.60487,67790.50708,519.025061
2016,山西,3514,33922.6278,12710.09094,13340.98205,275.9303098
2016,广东,11908,121169.5669,12504.91035,78273.49125,258.4292142
2016,广西,4857,46458.30355,7498.864224,18029.74776,88.99854059
2016,新疆,2428,27737.45246,10561.48692,10033.4848,262.120602
2016,江苏,8381,119910.2273,20983.29182,75585.45764,396.8949543
2016,江西,4496,30194.64066,6441.281408,18228.9202,106.9992315
2016,河北,7375,74213.56087,23083.43897,31832.92548,304.1347253
2016,河南,9778,103678.7814,15717.81822,39999.33496,252.8170109
2016,浙江,6072,78783.76611,13480.13784,46145.86324,227.013246
2016,海南,957,8702.385223,1643.283727,3980.467,17.52880712
2016,湖北,5885,59333.81677,11833.1541,31943.75539,158.2442906
2016,湖南,6625,52493.30211,11601.18517,31214.3868,155.3241705
2016,甘肃,2520,16260.26169,4936.026607,7306.38432,91.10134411
2016,福建,4016,57766.09769,8178.259248,28162.12488,109.2501499
2016,贵州,3758,23586.83265,7094.240915,11605.3288,132.6959688
2016,辽宁,4327,61342.04015,14806.19937,27952.2945,215.7348436
2016,重庆,3110,30618.00949,6508.356177,17399.01789,71.2037695
2016,陕西,3874,41684.81671,8122.954129,19391.52136,153.8950233
2016,青海,582,9840.284128,2608.321764,2610.414,27.84178996
2016,黑龙江,3463,36822.9623,9132.942975,16003.77387,183.3778914
2017,上海,2466,47032.45662,8391.164593,28710.09885,61.22925029
2017,云南,4693,45505.43159,7492.939632,16210.42138,84.64879187
2017,内蒙古,2433,54076.29911,13489.70819,19879.99387,519.2393073
2017,北京,2194,43357.86478,5099.582321,26226.41412,7.802890222
2017,吉林,2526,47176.56473,6221.764745,15830.26073,142.1821552
2017,四川,8289,60133.8487,14373.69018,35021.41839,54.12605456
2017,天津,1410,46449.75063,5548.66281,18692.71924,59.43318935
2017,宁夏,705,12417.96755,4301.153009,3393.137993,142.0568837
2017,安徽,6057,46741.26574,9654.0272,25953.32999,226.3267827
2017,山东,10033,139618.6834,25277.10513,72807.0046,492.5079498
2017,山西,3510,34532.11449,12828.91596,14288.19178,303.082103
2017,广东,12141,134951.9293,19714.05679,84144.00309,274.2443642
2017,广西,4907,47877.64609,7820.285511,19309.85985,91.71605259
2017,新疆,2480,31680.42162,11333.73657,10796.02965,286.4749664
2017,江苏,8423,130284.5153,21313.75776,81027.61059,387.1706579
2017,江西,4511,33236.21083,6674.406514,19833.06518,115.4884194
2017,河北,7409,79548.95724,22772.32253,33933.89856,284.9850258
2017,河南,9829,112652.8261,15540.37338,43119.28309,275.639369
2017,浙江,6170,85428.16821,13747.52506,49745.24057,233.4202197
2017,海南,972,9593.641853,1675.051718,4259.09969,18.97951053
2017,湖北,5904,65973.70047,12140.55858,34435.36831,165.4729101
2017,湖南,6633,56864.80851,12024.04493,33711.53774,172.2001402
2017,甘肃,2522,16889.91009,4955.850983,7569.414156,91.44035732
2017,福建,4065,64521.04947,8467.851894,30443.257,122.8153901
2017,贵州,3803,27283.4691,7208.395635,12789.07234,141.7313433
2017,辽宁,4312,61459.38548,15268.96493,29126.29087,225.2897319
2017,重庆,3144,33985.93924,6644.292913,19017.12655,67.66315437
2017,陕西,3904,45792.7593,7991.875521,20942.84307,153.9859554
2017,青海,586,11237.15865,2567.144064,2800.974222,25.39779256
2017,黑龙江,3399,39438.23701,9300.330694,17028.0154,187.5927287
2018,上海,2475,50209.43664,8111.315146,30604.96537,58.31747555
2018,云南,4703,50974.5074,8034.404459,17653.14888,85.75829545
2018,内蒙古,2422,53004.32484,15808.89687,20933.63354,589.5929917
2018,北京,2192,45825.34465,5298.615567,27957.35745,3.752088238
2018,吉林,2484,49132.90294,5425.635343,16542.62246,134.0673319
2018,四川,8321,65038.5768,13297.7281,37823.13186,81.21496969
2018,天津,1383,48058.35292,5620.816347,19365.65713,58.91801497
2018,宁夏,710,13072.56242,4581.568219,3630.657652,159.4974465
2018,安徽,6076,51160.8319,9715.30296,28029.59639,236.3032384
2018,山东,10077,147293.2836,27169.00652,77466.6529,556.4934724
2018,山西,3502,35124.49414,12647.94343,15245.50063,299.1723319
2018,广东,12348,148370.4629,20481.56705,89865.7953,273.0565607
2018,广西,4947,49533.96828,7441.60292,20622.93032,104.6466927
2018,新疆,2520,33245.16108,11563.00456,11454.58745,301.6869049
2018,江苏,8446,139410.8547,21908.21229,86456.4605,378.4985866
2018,江西,4513,36224.96291,6815.951402,21558.54185,116.8410958
2018,河北,7426,84427.87229,26003.62844,36173.53587,314.8040034
2018,河南,9864,121164.2884,14797.32369,46396.3486,287.7984291
2018,浙江,6273,91546.71606,14053.07638,53277.15265,233.0310268
2018,海南,982,10062.33717,1745.003464,4506.127472,20.07271522
2018,湖北,5917,72428.33536,11814.75995,37121.32704,156.5559015
2018,湖南,6635,61259.572,11282.74517,36341.03769,150.6483328
2018,甘肃,2515,17254.56364,5028.363837,8046.287247,101.9441188
2018,福建,4104,71358.99854,8649.303385,32970.04733,139.8325173
2018,贵州,3822,31207.90651,7052.524589,13952.87792,138.0958395
2018,辽宁,4291,61577.08799,15854.13942,30786.48945,233.5266117
2018,重庆,3163,37112.81368,5858.019606,20158.15415,69.61047474
2018,陕西,3931,49862.07474,8248.035866,22681.09904,155.8428859
2018,青海,587,12552.13523,2694.430002,3002.644366,22.91277378
2018,黑龙江,3327,41251.78979,7840.996061,17828.33212,176.8414975
2019,上海,2481,53342.23768,8351.955259,32441.26329,55.48468382
2019,云南,4714,56477.89801,8436.866484,19083.05394,86.41895712
2019,内蒙古,2415,52288.52076,17230.70228,22022.18249,646.7295736
2019,北京,2190,47697.12224,5334.418686,29662.75626,2.500295665
2019,吉林,2448,49568.92467,5472.135393,17038.90113,137.5204702
2019,四川,8351,70197.75247,13827.06836,40659.86675,86.85994983
2019,天津,1385,50241.62822,5813.112321,20295.20868,56.48522438
2019,宁夏,717,13412.35556,4892.344014,3866.6504,173.1652544
2019,安徽,6092,55739.6365,9999.82186,30131.81612,240.5260341
2019,山东,10106,151668.1398,29138.99072,81727.31881,563.6454255
2019,山西,3497,35875.0127,13264.81561,16190.72166,303.2686244
2019,广东,12489,162186.3092,20975.65413,95437.47461,269.6294053
2019,广西,4982,51494.17482,7656.171068,21860.30614,116.8533368
2019,新疆,2559,34623.70593,12117.89725,12164.77188,324.5572691
2019,江苏,8469,148414.9431,22894.14588,91730.30459,368.7276314
2019,江西,4516,39326.51687,7016.836452,23283.2252,117.9834814
2019,河北,7447,89234.10857,24840.81209,38633.33631,295.37823
2019,河南,9901,129713.0438,14648.99347,49644.093,259.4372699
2019,浙江,6375,98192.55209,14342.40459,56899.99903,224.1579683
2019,海南,995,10295.71401,1792.200877,4767.482865,19.51561143
2019,湖北,5927,79057.19479,12260.51764,39905.42657,170.0262529
2019,湖南,6640,66050.42783,11510.43088,39102.95655,146.9767579
2019,甘肃,2509,17665.63664,5095.74183,8545.157057,99.77882352
2019,福建,4137,78050.47988,9185.727223,35475.77092,141.0888745
2019,贵州,3848,34607.59619,7229.945568,15110.96679,144.77256
2019,辽宁,4277,61495.75817,16821.1342,32479.74637,241.4383376
2019,重庆,3188,39936.13543,5935.800926,21428.11786,68.30305404
2019,陕西,3944,53476.5353,8866.133061,24041.96499,171.0279394
2019,青海,590,13785.10182,2709.472263,3191.810961,21.94005811
2019,黑龙江,3255,43201.37788,8341.872253,18577.12207,189.0123247
2020,上海,2488,56861.94425,7743.370499,32992.76477,54.8350451
2020,云南,4722,61817.01476,8916.621928,19846.3761,97.3965452
2020,内蒙古,2403,51481.21986,18515.55252,22066.22685,673.8725979
2020,北京,2189,49397.64796,4789.496117,30018.70933,1.829965926
2020,吉林,2399,50298.56533,5379.525325,17447.83476,134.4576028
2020,四川,8371,74743.85688,13612.69728,42204.94168,82.47489169
2020,天津,1387,52258.66039,5741.815188,20599.63681,55.82216748
2020,宁夏,721,13758.56614,5391.042054,4017.449765,181.8982628
2020,安徽,6105,60054.64185,10806.02193,31306.95695,237.9442613
2020,山东,10165,155723.1865,29920.36058,84669.50229,535.9693677
2020,山西,3490,36887.50433,13146.53474,16773.58764,310.1246993
2020,广东,12624,175836.4313,21251.43885,97632.53653,263.5386809
2020,广西,5019,53340.17289,8439.612426,22669.13747,122.4520123
2020,新疆,2590,36578.51747,12205.3518,12578.37412,345.5686528
2020,江苏,8477,155910.9763,22807.82215,95124.32586,361.0002586
2020,江西,4519,42474.12624,6955.926932,24167.98775,117.4887903
2020,河北,7464,93665.05525,25218.54947,40140.03642,295.6152403
2020,河南,9941,137643.3628,15142.38416,50289.46621,264.0265823
2020,浙江,6468,104615.4395,16113.29947,58948.399,215.164121
2020,海南,1012,10577.96428,1745.893065,4934.344766,17.67607128
2020,湖北,5745,81909.96347,11553.68654,37910.15524,144.3536366
2020,湖南,6645,70912.25665,11578.95338,40588.8689,137.9381286
2020,甘肃,2501,18162.56393,5332.204163,8878.418182,106.9904164
2020,福建,4161,83639.37417,8955.285374,36646.47136,145.9560731
2020,贵州,3858,37674.56336,7237.479001,15790.96029,122.5436841
2020,辽宁,4255,61436.36459,17698.76377,32674.62485,243.8510329
2020,重庆,3209,42557.79647,6084.932851,22263.81446,67.38911527
2020,陕西,3955,56836.57733,8940.927249,24570.88822,182.0769258
2020,青海,593,14506.63436,2578.168522,3239.688125,19.75488852
2020,黑龙江,3171,45019.52004,8388.005297,18762.89329,186.9001907
2021,上海,2489,60625.22802,7981.61521,35665.17871,66.21476511
2021,云南,4690,67008.19544,8800.260855,21295.16156,98.09231027
2021,内蒙古,2400,51196.68394,18109.37173,23456.39915,677.8168079
2021,北京,2189,51172.20057,5073.403494,32570.29963,2.002198474
2021,吉林,2375,51585.30403,5307.89015,18599.39185,135.4243234
2021,四川,8372,79475.0857,14261.10055,45665.7469,88.10529853
2021,天津,1373,54314.56957,5678.49088,21959.21284,56.9665083
2021,宁夏,725,14081.16106,5640.388991,4286.6189,191.0734354
2021,安徽,6113,64774.86524,11112.90337,33905.43438,247.6159811
2021,山东,10170,160314.5688,31458.27882,91697.07098,557.1211673
2021,山西,3480,38165.97564,13820.3065,18299.98412,328.6649297
2021,广东,12684,189705.1983,22060.8826,105443.1395,321.168464
2021,广西,5037,55481.18743,8933.893129,24369.32278,123.6214205
2021,新疆,2589,39103.11389,13665.75426,13458.86031,390.4124391
2021,江苏,8505,163567.7445,23730.74461,103305.0179,397.6176679
2021,江西,4517,46008.49377,7144.453924,26294.77068,118.5501944
2021,河北,7448,97891.7762,24610.96456,42749.13879,297.8555863
2021,河南,9883,145494.6946,15826.82394,53457.70258,263.2169297
2021,浙江,6540,111908.9456,17176.48023,63959.01291,261.5130408
2021,海南,1020,10968.51759,5506.148453,5486.991379,19.56094267
2021,湖北,5830,86758.14936,12875.72658,42800.56526,168.6322712
2021,湖南,6622,76144.28543,11895.72175,43714.21181,134.0997556
2021,甘肃,2490,18850.98862,5529.058402,9491.029036,120.5037392
2021,福建,4187,89360.10601,9827.975023,39578.18907,165.8513139
2021,贵州,3852,40186.09152,7575.215865,17070.02808,139.2245273
2021,辽宁,4229,61482.59838,17970.5774,34569.75309,244.5061191
2021,重庆,3212,45296.8317,6506.294595,24111.71105,72.86940447
2021,陕西,3954,59419.54283,9883.37489,26167.99595,208.9890799
2021,青海,594,15056.53023,2960.183666,3424.350349,25.7694656
2021,黑龙江,3125,47016.20174,8947.452078,19907.42978,196.4677946
2022,上海,2475,63634.75115,7411.479579,35593.84836,64.1893738
2022,云南,4693,72325.3176,8784.566314,22210.8535,95.74842497
2022,内蒙古,2401,51774.89829,18994.71443,24441.56791,712.8875148
2022,北京,2184,52879.36793,4782.957726,32798.29173,1.373455439
2022,吉林,2348,52431.33373,4850.799762,18246.00341,127.9172619
2022,四川,8374,84194.56225,14042.3397,46990.05356,87.74410566
2022,天津,1363,55243.82815,5631.068546,22178.80496,54.97914654
2022,宁夏,728,14509.76046,5999.113588,4458.083656,202.5822098
2022,安徽,6127,69753.39416,11363.53041,35092.12458,263.7364841
2022,山东,10163,165339.7861,33103.34918,95273.25674,540.1258449
2022,山西,3481,39502.3784,14230.14059,19105.18342,346.2160555
2022,广东,12657,200497.4503,21626.86518,107446.5591,315.7222128
2022,广西,5047,57246.45968,9050.22203,25076.03314,123.0166074
2022,新疆,2587,41723.26299,13886.79002,13889.54384,396.8347469
2022,江苏,8515,170772.722,24214.92157,106197.5584,402.2600562
2022,江西,4528,49685.4055,7366.637662,27530.6249,125.545426
2022,河北,7420,102523.6543,24555.43634,44373.60606,299.4510344
2022,河南,9872,153660.6202,16304.67486,55114.89136,306.9729687
2022,浙江,6577,119669.6154,35802.62875,65941.74231,273.1163147
2022,海南,1027,11227.78782,1894.485974,5497.965362,19.6595111
2022,湖北,5844,92821.78289,13126.57701,44640.98957,184.8221827
2022,湖南,6604,81416.03964,11873.35162,45681.35134,135.0056402
2022,甘肃,2492,19679.54725,5554.942461,9918.125343,126.4800095
2022,福建,4188,95272.00659,10485.59492,41438.36396,158.7935928
2022,贵州,3856,41984.43864,7315.908512,17274.86841,131.5289748
2022,辽宁,4197,61630.11254,17939.29964,35295.7179,232.3958619
2022,重庆,3213,47634.15332,6349.81331,24738.61554,77.6693005
2022,陕西,3956,62237.27551,11022.46445,27293.21978,224.6851902
2022,青海,595,15337.19042,2998.517181,3503.110407,26.67206014
2022,黑龙江,3099,48705.62645,8627.230807,20444.93039,184.8985254
